Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Russell Teibert,VAN,M,20,19,1585,0,1,5,4,0,0/0,0,0,0,0,1,1,0,0.06,14,13,0,3,0,80,2020,reg
Gudmundur Thórarinsson,NYC,D,19,7,683,0,1,5,1,0,0/0,0,0,0,0,0,1,0,0.13,7,6,0,1,0,20,2020,reg
James Sands,NYC,M,16,16,1409,0,1,5,0,0,0/0,0,0,0,0,0,1,0,0.06,34,30,0,6,0,0,2020,reg
Kevin Paredes,DC,M,17,9,944,0,1,5,3,0,0/0,0,0,0,0,1,0,1,0.1,17,21,1,1,0,60,2020,reg
Sean Davis,RBNY,M,14,13,1086,0,1,6,2,0,0/0,0,0,0,0,1,1,0,0.08,15,14,0,1,0,33.33,2020,reg
Steven Birnbaum,DC,D,10,10,900,0,1,7,0,0,0/0,0,0,0,0,0,0,1,0.1,16,5,0,1,0,0,2020,reg
Anton Walkes,ATL,D,17,15,1335,0,1,7,3,0,0/0,0,0,0,0,0,0,1,0.07,4,2,0,2,0,42.86,2020,reg
Donny Toia,RSL,D,20,19,1674,0,1,7,0,0,0/0,0,0,0,0,0,1,0,0.05,26,9,0,4,0,0,2020,reg
Marc Rzatkowski,RBNY,M,16,7,698,0,1,7,3,0,0/0,0,0,0,0,0,0,1,0.13,11,12,1,1,0,42.86,2020,reg
Ilie Sanchez,SKC,M,15,13,1259,0,1,7,1,0,0/0,0,0,0,0,0,0,1,0.07,14,9,0,4,0,14.29,2020,reg
Chris Mavinga,TOR,D,19,17,1515,0,1,7,1,0,0/0,0,0,0,0,1,1,0,0.06,12,10,0,1,0,14.29,2020,reg
Michael Bradley,TOR,M,12,11,1060,0,1,7,2,0,0/0,0,0,0,0,0,1,0,0.08,8,11,0,2,0,28.57,2020,reg
Matt Hedges,DAL,D,19,18,1538,0,1,8,2,0,0/0,0,0,0,0,0,1,0,0.06,9,3,0,0,0,25,2020,reg
Thiago Santos,DAL,M,20,19,1623,0,1,8,0,0,0/0,0,0,0,0,0,1,0,0.06,41,47,0,8,0,0,2020,reg
Felipe Hernandez,SKC,M,16,8,778,0,1,8,0,0,0/0,0,0,0,0,0,1,0,0.12,12,7,0,0,0,0,2020,reg
Kyle Smith,ORL,D,16,11,1026,0,1,8,5,0,0/0,0,0,0,0,0,1,0,0.09,25,7,1,2,0,62.5,2020,reg
Nick DePuy,LA,D,16,15,1409,0,1,9,3,0,0/0,0,0,0,0,0,0,1,0.06,22,5,0,4,0,33.33,2020,reg
Zachary Brault-Guillard,MTL,D,21,19,1789,0,1,10,0,0,0/0,0,0,0,0,0,0,1,0.05,16,8,1,2,0,0,2020,reg
Junior Moreno,DC,M,20,20,1721,0,1,10,3,0,0/0,0,0,0,0,0,0,1,0.05,21,9,0,5,1,30,2020,reg
Leonard Owusu,VAN,M,20,14,1301,0,1,10,0,0,0/0,0,0,0,0,0,1,0,0.07,21,17,0,1,0,0,2020,reg
Miguel Angel Navarro,CHI,D,19,10,971,0,1,11,1,0,0/0,0,0,0,0,0,1,0,0.09,18,13,0,1,0,9.09,2020,reg
Marky Delgado,TOR,M,19,18,1448,0,1,11,4,0,0/0,0,0,0,0,0,1,0,0.06,16,19,1,1,0,36.36,2020,reg
Robbie Robinson,MIA,F,12,4,426,0,1,11,2,0,0/0,0,0,0,0,0,0,1,0.21,12,9,8,1,0,18.18,2020,reg
Yony Gonzalez,LA,M,9,7,481,0,1,13,6,0,0/0,0,0,0,0,0,0,1,0.19,6,20,2,0,0,46.15,2020,reg
Brandon Bye,NE,D,22,18,1636,0,1,13,2,0,0/0,0,0,0,0,0,1,0,0.06,16,11,1,2,0,15.38,2020,reg
Tanner Tessmann,DAL,M,19,9,1001,0,1,16,4,0,0/0,0,0,0,0,0,1,0,0.09,7,7,0,0,0,25,2020,reg
Aaron Herrera,RSL,D,20,20,1796,0,1,17,2,0,0/0,0,0,0,0,0,1,0,0.05,27,10,0,6,0,11.76,2020,reg
Elliot Collier,CHI,F,21,2,519,0,1,20,7,0,0/0,0,0,0,0,0,1,0,0.17,11,4,2,0,0,35,2020,reg
Mark Segbers,LFC,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Luis Argudo,MCF,M,1,0,11,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2020,reg
Kevin Partida,MIN,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Georges Mukumbilwa,VAN,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Juan Pablo Torres,NYC,M,2,0,2,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Griffin Dorsey,TOR,M,1,0,4,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2020,reg
Aboubacar Keita,CLB,D,11,10,942,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,6,12,1,1,0,,2020,reg
Denso Ulysse,MIA,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Patrick Metcalfe,VAN,M,7,2,200,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,4,0,0,0,,2020,reg
Julian Dunn,TOR,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Noble Okello,TOR,M,1,0,22,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2020,reg
Collin Verfuth,NE,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
JJ Williams,ATL,F,1,0,6,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2020,reg
David Norman Jr.,MIA,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Hassan Ndam,CIN,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Eddie Munjoma,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Milan Iloski,RSL,F,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Lagos Kunga,ATL,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Niki Jackson,COL,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Miguel Nazarit,NSH,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Wan Kuzain Wan Kamal,SKC,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Matt Hundley,COL,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Blake Bodily,POR,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
David Loera,ORL,M,2,0,15,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2020,reg
Matej Oravec,PHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Grant Lillard,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Christian Makoun,MIA,D,4,2,187,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2020,reg
Jeremiah Gutjahr,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Kortne Ford,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Francis Atuahene,DAL,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Patrick Seagrist,RBNY,D,3,3,246,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,0,0,1,0,,2020,reg
Chris Lema,RBNY,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Luiz Fernando,ATL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Rocco Romeo,TOR,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Shamit Shome,MTL,M,12,4,282,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,2,0,0,0,,2020,reg
Isaac Angking,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Luis Arriaga,RSL,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Marcelo Palomino,HOU,M,3,0,21,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2020,reg
Nicolas Firmino,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Wilson Harris,SKC,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Alvin Jones,RSL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Harry Shipp,SEA,M,2,0,38,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2020,reg
Tommy McCabe,CIN,M,1,0,12,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Foster Langsdorf,MIN,M,1,0,10,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Renzo Zambrano,POR,M,5,1,98,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,3,0,1,0,,2020,reg
Janio Bikel,VAN,D,12,12,948,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,25,18,0,5,1,,2020,reg
George Acosta,MIA,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Justin Dhillon,SEA,F,1,0,5,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Josue Colman,ORL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Danilo Acosta,LA,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Luis Alberto Caicedo,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Abdul Rwatubyaye,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Andrew Carleton,ATL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Deklan Wynne,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Noah Billingsley,MIN,D,1,0,6,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Pablo Aranguiz,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Tanner Dieterich,NSH,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Jack Skahan,SJ,M,1,0,11,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2020,reg
Gedion Zelalem,NYC,M,1,0,14,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Josh Sims,NY,M,2,0,45,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Luke Mulholland,RSL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Alex De John,ORL,D,6,0,54,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2020,reg
Michael Salazar,HOU,F,1,0,12,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,1,0,,2020,reg
Caleb Stanko,CIN,M,13,5,470,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,16,6,0,3,0,,2020,reg
Ken Tribbett,NSH,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Alejandro Guido,LAFC,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Andrew Farrell,NE,D,20,19,1711,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,9,15,0,2,0,,2020,reg
Eriq Zavaleta,TOR,D,5,3,282,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Sebastien Ibeagha,NYC,D,7,2,282,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,,2020,reg
Waylon Francis,CLB,D,4,2,196,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,,2020,reg
James Musa,MIN,D-M,6,2,155,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,5,0,0,1,0,,2020,reg
Jordan Hamilton,CLB,F,2,0,13,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,1,0,0,,2020,reg
Jerome Kiesewetter,MIA,F,2,0,23,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Darren Mattocks,CIN,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Ashtone Morgan,RSL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Brayan Beckeles,NSH,D,2,1,72,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,2,0,,2020,reg
Oriol Rosell,ORL,M-D,8,8,585,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,16,3,0,2,0,,2020,reg
Jimmy McLaughlin,CIN,M,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Vito Wormgoor,CLB,D,2,2,107,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,,2020,reg
Aurelien Collin,PHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Antonio Mlinar Delamea,NE,D,5,4,319,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2020,reg
Seth Sinovic,NE,D,1,0,13,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Kamohelo Mokotjo ,CIN,M,9,6,551,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,5,0,0,0,,2020,reg
A.J. DeLaGarza,MIA,D,5,5,427,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,7,3,1,0,0,,2020,reg
Danilo Silva,LFC,D,1,1,39,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2020,reg
Botond Barath,SKC,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Felipe Gutiérrez,SKC,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Steven Beitashour,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Jack Maher,NSH,D,3,2,127,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2020,reg
Sebastian Anderson,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Edwin Cerrillo,DAL,M,2,0,17,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Thomas Roberts,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
George Campbell,ATL,D,1,0,46,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2020,reg
Clement Bayiha,MTL,M,4,1,66,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2020,reg
Mathieu Choiniere,MTL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Jacob Akanyirige,SJ,D,1,1,69,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Gilbert Fuentes,SJ,M,1,0,5,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Andre Reynolds II,CHI,D,2,0,16,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Nicholas Slonina,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
John Tolkin,RBNY,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Damian Rivera,NE,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Alfonso Ocampo-Chavez,SEA,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Erik McCue,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Josh Atencio,SEA,M,5,0,11,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2020,reg
Julian Vazquez,RSL,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Justin Haak,NYC,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Joe Scally,NYC,D,4,1,70,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,,2020,reg
Ema Twumasi,DAL,F,4,0,35,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2020,reg
Kyle Adams,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Alexander Alvarado,ORL,F,2,0,25,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,2,0,0,0,,2020,reg
Tayvon Gray,NYC,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Diedie Traore,LA,D,6,0,85,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,5,0,0,0,,2020,reg
Jack de Vries,PHI,M-F,4,0,12,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2020,reg
Cole Turner,PHI,M,1,0,3,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Tyler Freeman,SKC,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Danny Leyva,SEA,M,2,1,56,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2020,reg
Javier Casas,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Tyler Wolff,ATL,M,5,1,118,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,5,1,0,0,0,,2020,reg
Simon Colyn,VAN,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Damiano Pecile,VAN,M,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Gianfranco Facchineri,VAN,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Alex Monis,CHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Justin Che,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Christopher Garcia,RSL,F,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Casey Walls,SJ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Keesean Ferdinand,MTL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Tomas Giraldo,MTL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Michael Halliday,ORL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Nicolas Acevedo,NYC,M,12,1,128,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,5,2,0,1,0,,2020,reg
Sam Gleadle,MIN,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Michee Ngalina,PHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Steeven Saba,MTL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Carlos Harvey,LA,M,6,1,104,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,,2020,reg
Will Vint,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Mateo Bajamich,HOU,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Santiago Patiño,ORL,F,2,0,8,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Callum Montgomery,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Jonathan Perez,LA,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Erik Dueñas,LAFC,D,2,0,34,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,1,0,,2020,reg
Miguel Berry,CLB,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Nkosi Burgess,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Luke Haakenson,NSH,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Tony Leone,LAFC,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Zac McGraw,POR,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020,reg
Mohamed Traore,LAFC,D,1,1,45,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,reg
Carlos Teran,CHI,D,2,0,14,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,reg
Jacob Shaffelburg,TOR,M-F,4,1,125,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2020,reg
Siad Haji,SJ,M,4,0,49,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,2020,reg
Brian Gutierrez,CHI,M,6,0,27,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,100,2020,reg
Jahkeele Marshall-Rutty,TOR,M,1,0,18,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2020,reg
Ethan Dobbelaere,SEA,M,1,1,54,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,reg
Thomas Chacon,MIN,M,4,1,172,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,3,6,1,1,0,100,2020,reg
Jordan Bender,ORL,M,2,1,46,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2020,reg
Ralph Priso,TOR,M,4,1,158,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020,reg
Collen Warner,COL,M,7,4,263,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,2020,reg
Johan Kappelhof,CHI,D,4,2,200,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2020,reg
Mathieu Deplagne,CIN,D,15,13,1175,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,19,11,0,6,0,0,2020,reg
Jorge Moreira,POR,D,1,1,89,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,reg
Matt Besler,SKC,D,10,9,810,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,10,9,0,1,0,0,2020,reg
Rod Fanni,MTL,D,12,10,946,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2020,reg
Michael Mancienne,NE,D,5,4,316,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2020,reg
Warren Creavalle,PHI,M,11,4,379,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,6,6,0,2,0,0,2020,reg
Mohammed Abu,DC,M,6,4,332,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,7,4,0,2,0,0,2020,reg
Josef Martinez,ATL,F,1,1,69,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020,reg
Adama Diomande,LFC,F,1,0,16,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,reg
Chris Duvall,POR,D,10,9,745,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,11,4,0,3,0,0,2020,reg
Micheal Azira,CHI,M,6,1,125,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2020,reg
Eric Miller,NSH,D,6,5,435,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2020,reg
Alvas Powell,MIA,D,4,2,197,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,3,2,0,1,0,100,2020,reg
Alejandro Fuenmayor,HOU,D,5,3,301,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,2020,reg
Oniel Fisher,DC,D,15,6,673,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,15,6,1,1,0,0,2020,reg
Amro Tarek,RBNY,D,12,10,935,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,19,9,1,3,0,0,2020,reg
Brent Kallman,MIN,D,4,3,271,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,1,2,0,0,0,100,2020,reg
Graham Smith,SKC,D,4,4,315,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,2020,reg
